Cadorago comune,Cadorago comune.1
,
Cadorago – VedutaVista sulla chiesa di San Martino dalla ferrovia Saronno-Como,Cadorago – VedutaVista sulla chiesa di San Martino dalla ferrovia Saronno-Como
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Paolo Clerici (lista civica Vivere) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°43′N 9°02′E
Altitudine,313 m s.l.m.
Superficie,"7,19 km²"
Abitanti,8 039[1] (30-11-2025)
Densità,"1 118,08 ab./km²"
Frazioni,"Bulgorello, Caslino al Piano"
Comuni confinanti,"Bregnano, Cermenate, Fino Mornasco, Guanzate, Lomazzo, Vertemate con Minoprio"
Altre informazioni,Altre informazioni
Cod. postale,22071
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013036
Cod. catastale,B346
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,cadoraghesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Cadorago,Cadorago
Cadorago – MappaPosizione del comune di Cadorago nella provincia di Como,Cadorago – MappaPosizione del comune di Cadorago nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
