Carbonate comune,Carbonate comune.1
,
Carbonate – VedutaChiesa di Santa Maria Assunta,Carbonate – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luca Roscelli (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°41′09″N 8°56′21″E
Altitudine,267 m s.l.m.
Superficie,"4,92 km²"
Abitanti,2 974[1] (30-11-2025)
Densità,"604,47 ab./km²"
Frazioni,"Cascina Abbondanza, Cascina Cipollina, Cascina Moneta, La Pinetina"
Comuni confinanti,"Appiano Gentile, Gorla Maggiore (VA), Locate Varesino, Lurago Marinone, Mozzate, Tradate (VA)"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,013045
Cod. catastale,B742
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 449 GG[3]"
Nome abitanti,carbonatesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto (trasferito alla 1ª o alla 2ª domenica di ottobre: B.V.M. del Rosario)
Cartografia,Cartografia
Carbonate,Carbonate
Carbonate – MappaPosizione del comune di Carbonate nella provincia di Como,Carbonate – MappaPosizione del comune di Carbonate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
