San Siro comune,San Siro comune.1
,
"San Siro – VedutaVeduta sulle punte di Acquaseria, Santa Maria e Rezzonico","San Siro – VedutaVeduta sulle punte di Acquaseria, Santa Maria e Rezzonico"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Nicola Mappa (San Siro: Libertà è Partecipazione (lista civica)) dal 14-5-2023
Territorio,Territorio
Coordinate,46°03′50.7″N 9°16′05.14″E
Altitudine,216 m s.l.m.
Superficie,"18,79 km²"
Abitanti,1 669[1] (30-11-2025)
Densità,"88,82 ab./km²"
Frazioni,"Acquaseria, Camnasco, Carcente, Gallio, Lancio, La Torre, Lucena, Marena, Marledo, Maso, Mastena, Noledo, Pezzo, Rezzonico, Roncate, San Martino, Santa Maria, Sant'Abbondio, Treccione."
Comuni confinanti,"Bellano (LC), Cremia, Dervio (LC), Menaggio, Perledo (LC), Plesio"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013248
Cod. catastale,I162
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 246 GG[3]"
Nome abitanti,sansiresi
Cartografia,Cartografia
San Siro,San Siro
San Siro – MappaPosizione del comune di San Siro all'interno della provincia di Como,San Siro – MappaPosizione del comune di San Siro all'interno della provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
