Sorico comune,Sorico comune.1
,
"Sorico – VedutaSituato nel punto più a nord del lago di Como, Sorico rappresenta l'ultimo paese fluviale del bacino del fiume Mera","Sorico – VedutaSituato nel punto più a nord del lago di Como, Sorico rappresenta l'ultimo paese fluviale del bacino del fiume Mera"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Ettore Dassi (lista civica Tre pievi) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′20″N 9°22′53″E
Altitudine,201 m s.l.m.
Superficie,"24,44 km²"
Abitanti,1 246[1] (30-11-2025)
Densità,"50,98 ab./km²"
Frazioni,"Albonico, Bugiallo, Dascio. Località: Peledo, Boschetto, Cà Crusca, Scagnello, Selve, Masina, Gusbano, Poncetta, Nigolo, Dolo, Rebuschini, Priorini, Prati Meriggi, Poncione, Pontaccio, Sirana, Locofontana, Spadole, Pescedo, Sensone, La Punta, Palate"
Comuni confinanti,"Dubino (SO), Gera Lario, Montemezzo, Novate Mezzola (SO), Samolaco (SO), Verceia (SO)"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013216
Cod. catastale,I856
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,suricensi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Sorico,Sorico
Sorico – MappaPosizione di Sorico all'interno della Provincia di Como,Sorico – MappaPosizione di Sorico all'interno della Provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
