Vertemate con Minoprio comune,Vertemate con Minoprio comune.1
,
Vertemate con Minoprio – Veduta,Vertemate con Minoprio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Riccardo Pellizzari (lista civica Per il bene comune) dal 9-6-2024
Territorio,Territorio
Coordinate,45°44′N 9°04′E
Altitudine,340 m s.l.m.
Superficie,"5,75 km²"
Abitanti,4 190[1] (30-11-2025)
Densità,"728,7 ab./km²"
Frazioni,Minoprio
Comuni confinanti,"Cadorago, Cantù, Cermenate, Cucciago, Fino Mornasco"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013242
Cod. catastale,L792
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 555 GG[3]"
Nome abitanti,"minopriesi, vertematesi"
Giorno festivo,"17 gennaio (Vertemate), 15 agosto (Minoprio)"
Cartografia,Cartografia
Vertemate con Minoprio,Vertemate con Minoprio
Vertemate con Minoprio – MappaPosizione del comune di Vertemate con Minoprio nella provincia di Como,Vertemate con Minoprio – MappaPosizione del comune di Vertemate con Minoprio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
