Bizzarone comune,Bizzarone comune.1
,
Bizzarone – VedutaVista su Bizzarone dal Colle di San Maffeo,Bizzarone – VedutaVista su Bizzarone dal Colle di San Maffeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Guido Bertocchi (lista civica Fare per Bizzarone) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°50′N 8°57′E
Altitudine,436 m s.l.m.
Superficie,"2,67 km²"
Abitanti,1 777[1] (30-11-2025)
Densità,"665,54 ab./km²"
Comuni confinanti,"Mendrisio (CH-TI), Novazzano (CH-TI), Rodero, Stabio (CH-TI), Uggiate con Ronago, Valmorea"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013024
Cod. catastale,A898
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 689 GG[3]"
Nome abitanti,bizzaronesi
Patrono,sant'Evasio
Giorno festivo,1º dicembre
Cartografia,Cartografia
Bizzarone,Bizzarone
Bizzarone – MappaPosizione del comune di Bizzarone nella provincia di Como,Bizzarone – MappaPosizione del comune di Bizzarone nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
