Fenegrò comune,Fenegrò comune.1
,
Fenegrò – Veduta,Fenegrò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,"Claudio Canobbio (lista civica Fenegrò - Persone, idee e futuro) dal 25-5-2014 (3º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,45°42′N 9°00′E
Altitudine,290 m s.l.m.
Superficie,"5,36 km²"
Abitanti,3 325[1] (30-11-2025)
Densità,"620,34 ab./km²"
Comuni confinanti,"Cirimido, Guanzate, Limido Comasco, Lurago Marinone, Turate, Veniano"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013100
Cod. catastale,D531
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 541 GG[3]"
Nome abitanti,fenegrolesi
Patrono,Santa Maria
Cartografia,Cartografia
Fenegrò,Fenegrò
Fenegrò – MappaPosizione del comune di Fenegrò nella provincia di Como,Fenegrò – MappaPosizione del comune di Fenegrò nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
