Asso comune,Asso comune.1
,
Asso – Veduta,Asso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Mirko Donadini (lista civica Siamo Asso) dal 26-5-2025
Territorio,Territorio
Coordinate,45°51′40.68″N 9°16′10.02″E
Altitudine,427 m s.l.m.
Superficie,"6,51 km²"
Abitanti,3 551[1] (30-11-2025)
Densità,"545,47 ab./km²"
Frazioni,"Pagnano, Scarenna[2]"
Comuni confinanti,"Caglio, Canzo, Caslino d'Erba, Lasnigo, Rezzago, Sormano, Valbrona"
Altre informazioni,Altre informazioni
Cod. postale,22033
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013013
Cod. catastale,A476
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 837 GG[4]"
Nome abitanti,assesi
Patrono,santa Apollonia
Giorno festivo,9 febbraio
Cartografia,Cartografia
Asso,Asso
Asso – MappaPosizione del comune di Asso all'interno della provincia di Como,Asso – MappaPosizione del comune di Asso all'interno della provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
