Brienno comune,Brienno comune.1
,
Brienno – VedutaGiochi di luce a Brienno,Brienno – VedutaGiochi di luce a Brienno
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Matteo Vitali (lista civica Vivere Brienno) dal 13-6-2022
Territorio,Territorio
Coordinate,45°54′N 9°08′E
Altitudine,203 m s.l.m.
Superficie,"8,97 km²"
Abitanti,313[1] (30-11-2025)
Densità,"34,89 ab./km²"
Comuni confinanti,"Argegno, Carate Urio, Laglio, Nesso, Schignano"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013030
Cod. catastale,B172
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 358 GG[3]"
Nome abitanti,briennesi
Patrono,Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Brienno,Brienno
Brienno – MappaPosizione del comune di Brienno nella provincia di Como,Brienno – MappaPosizione del comune di Brienno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
