Fino Mornasco comune,Fino Mornasco comune.1
,
Fino Mornasco – VedutaVista sul centro-città di Fino Mornasco da nord-ovest (Cavallasca),Fino Mornasco – VedutaVista sul centro-città di Fino Mornasco da nord-ovest (Cavallasca)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Roberto Fornasiero (lista civica Progetto per Fino) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°44′31.65″N 9°03′19.86″E
Altitudine,"312,2 m s.l.m."
Superficie,"7,38 km²"
Abitanti,10 128[1] (30-11-2025)
Densità,"1 372,36 ab./km²"
Frazioni,"Andrate, Socco, Ronco Vecchio, Bricoletta."
Comuni confinanti,"Cadorago, Casnate con Bernate, Cassina Rizzardi, Cucciago, Guanzate, Luisago, Vertemate con Minoprio"
Altre informazioni,Altre informazioni
Cod. postale,22073
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013102
Cod. catastale,D605
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,Finesi/Mornaschesi
Patrono,Santo Stefano
Giorno festivo,26 dicembre
PIL,(nominale) 22 548 980 €
PIL procapite,(nominale) 55 347 €
Cartografia,Cartografia
Fino Mornasco,Fino Mornasco
Fino Mornasco – MappaPosizione del comune di Fino Mornasco nella provincia di Como,Fino Mornasco – MappaPosizione del comune di Fino Mornasco nella provincia di Como
(sito) Sito istituzionale,(sito) Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
