Vercana comune,Vercana comune.1
,
Vercana – VedutaVeduta,Vercana – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luca Aggio (lista civica Uniti per Vercana) dal 26-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1950 (disgregazione da Livo e Domaso che erano stati uniti nel 1928)
Territorio,Territorio
Coordinate,46°10′N 9°20′E
Altitudine,345 m s.l.m.
Superficie,"15,01 km²"
Abitanti,732[1] (30-11-2025)
Densità,"48,77 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Colico (LC), Domaso, Gera Lario, Livo, Montemezzo, Samolaco (SO), Trezzone"
Altre informazioni,Altre informazioni
Cod. postale,22013
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013239
Cod. catastale,L748
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 559 GG[3]"
Nome abitanti,peelet o vercanini
Patrono,"San Rocco, Santi Pietro e Paolo"
Giorno festivo,"16 agosto, 29 Giugno"
Cartografia,Cartografia
Vercana,Vercana
Vercana – MappaPosizione del comune di Vercana nella provincia di Como,Vercana – MappaPosizione del comune di Vercana nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
