Capiago Intimiano comune,Capiago Intimiano comune.1
,
Capiago Intimiano – VedutaLa Chiesa dei santi Vincenzo e Anastasio,Capiago Intimiano – VedutaLa Chiesa dei santi Vincenzo e Anastasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Emanuele Cappelletti (lista civica Progetto insieme) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°46′N 9°07′E
Altitudine,472 (min 387-max 524)[1] m s.l.m.
Superficie,"8,72[1] km²"
Abitanti,5 434[2] (30-11-2025)
Densità,"623,17 ab./km²"
Frazioni,Olmeda
Comuni confinanti,"Cantù, Como, Lipomo, Montorfano, Orsenigo, Senna Comasco"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013043
Cod. catastale,B653
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 667 GG[4]"
Nome abitanti,capiaghesi e intimianesi
Patrono,"san Vincenzo, sant'Anastasio (Capiago);"
Giorno festivo,22 gennaio in Capiago
Cartografia,Cartografia
Capiago Intimiano,Capiago Intimiano
Capiago Intimiano – MappaLocalizzazione del comune di Capiago Intimiano nella provincia di Como,Capiago Intimiano – MappaLocalizzazione del comune di Capiago Intimiano nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
