Dizzasco comune,Dizzasco comune.1
,
Dizzasco – VedutaDizzasco dalle Crocette,Dizzasco – VedutaDizzasco dalle Crocette
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Aldo Riva (lista civica Insieme per Dizzasco e Muronico) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°56′37.62″N 9°05′59.05″E
Altitudine,506 m s.l.m.
Superficie,"3,61 km²"
Abitanti,643[1] (30-11-2025)
Densità,"178,12 ab./km²"
Frazioni,"Muronico, Rovasco"
Comuni confinanti,"Argegno, Cerano d'Intelvi, Blessagno, Centro Valle Intelvi, Pigra, Schignano"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013087
Cod. catastale,D310
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 788 GG[3]"
Nome abitanti,dizzaschesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Dizzasco,Dizzasco
Dizzasco – MappaLocalizzazione del comune di Dizzasco nella provincia di Como,Dizzasco – MappaLocalizzazione del comune di Dizzasco nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
