Gravedona ed Uniti comune,Gravedona ed Uniti comune.1
,
Gravedona ed Uniti – VedutaScorcio su Gravedona ed Uniti dalla località Consiglio di Rumo. Sullo sfondo il primo tratto della Valtellina.,Gravedona ed Uniti – VedutaScorcio su Gravedona ed Uniti dalla località Consiglio di Rumo. Sullo sfondo il primo tratto della Valtellina.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Cesare Soldarelli (Lista civica Continuità e rinnovamento per Gravedona ed Uniti) dal 3-10-2021
Territorio,Territorio
Coordinate,46°08′50″N 9°18′07″E
Altitudine,201 m s.l.m.
Superficie,"39,85 km²"
Abitanti,4 033[1] (30-11-2025)
Densità,"101,2 ab./km²"
Frazioni,"Alborescia, Gravedona (sede comunale), Brenzio, Consiglio di Rumo, Germasino, Giussanico, Piumona, San Carlo, Soiano, Traversa, Travisa"
Comuni confinanti,"Bellinzona (CH-TI), Colico (LC), Domaso, Dongo, Dosso del Liro, Garzeno, Peglio, Roveredo (CH-GR), San Nazzaro Val Cavargna, San Vittore (CH-GR), Stazzona"
Altre informazioni,Altre informazioni
Cod. postale,22015
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013249
Cod. catastale,M315
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,gravedonesi
Patrono,Beata Vergine Maria di Lourdes
Cartografia,Cartografia
Gravedona ed Uniti,Gravedona ed Uniti
Gravedona ed Uniti – MappaPosizione del comune di Gravedona ed Uniti nella provincia di Como,Gravedona ed Uniti – MappaPosizione del comune di Gravedona ed Uniti nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
