Limido Comasco comune,Limido Comasco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Stefano Uboldi (lista civica Direzione Futuro) dal 9-6-2024
Territorio,Territorio
Coordinate,45°41′N 8°59′E
Altitudine,276 (250 min - 285 max) escursione 35 m s.l.m.
Superficie,"4,56 km²"
Abitanti,3 928[1] (30-11-2025)
Densità,"861,4 ab./km²"
Frazioni,"Cascina Restelli, Cascina Castigliona"
Comuni confinanti,"Cislago (VA), Fenegrò, Lurago Marinone, Mozzate, Turate"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013128
Cod. catastale,E593
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,limidesi
Patrono,sant'Abbondio
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Limido Comasco,Limido Comasco
Limido Comasco – MappaLocalizzazione del comune di Limido Comasco nella provincia di Como,Limido Comasco – MappaLocalizzazione del comune di Limido Comasco nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
