Luisago comune,Luisago comune.1
,
Luisago – VedutaVista da nord su Luisago,Luisago – VedutaVista da nord su Luisago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Roberta Tosca (lista civica Svolta Civica per Luisago) dal 9-6-2024
Territorio,Territorio
Coordinate,45°45′39.71″N 9°02′36.6″E
Altitudine,312 m s.l.m.
Superficie,"2,15 km²"
Abitanti,2 833[1] (30-11-2025)
Densità,"1 317,67 ab./km²"
Frazioni,"Nord Portichetto, Milanino, San Martino, Ca' dei boschi"
Comuni confinanti,"Casnate con Bernate, Cassina Rizzardi, Fino Mornasco, Grandate, Villa Guardia"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013135
Cod. catastale,E735
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 534 GG[3]"
Nome abitanti,luisaghesi
Patrono,Beata Vergine Addolorata
Giorno festivo,15 settembre
PIL procapite,(nominale) 7 989 €
Cartografia,Cartografia
Luisago,Luisago
Luisago – MappaPosizione del comune di Luisago nella provincia di Como,Luisago – MappaPosizione del comune di Luisago nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
