Caglio comune,Caglio comune.1
,
Caglio – VedutaVista sulla piazza che ospita la chiesa dei Santi Gervaso e Protasio,Caglio – VedutaVista sulla piazza che ospita la chiesa dei Santi Gervaso e Protasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Vittorio Molteni (lista civica Uniti per Caglio) dal 3-10-2021
Territorio,Territorio
Coordinate,45°52′16.19″N 9°13′30.63″E
Altitudine,800 m s.l.m.
Superficie,"6,52 km²"
Abitanti,479[1] (30-11-2025)
Densità,"73,47 ab./km²"
Comuni confinanti,"Asso, Caslino d'Erba, Faggeto Lario, Nesso, Rezzago, Sormano"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013037
Cod. catastale,B355
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,"cagliesi (italiano); gòss (lmo.occ., appellativo tradizionale)"
Patrono,santi Gervaso e Protaso
Giorno festivo,19 luglio
Cartografia,Cartografia
Caglio,Caglio
Caglio – MappaPosizione del comune di Caglio nella provincia di Como,Caglio – MappaPosizione del comune di Caglio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
