Lezzeno comune,Lezzeno comune.1
,
Lezzeno – VedutaVeduta aerea di parte del Comune di Lezzeno,Lezzeno – VedutaVeduta aerea di parte del Comune di Lezzeno
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Maurizio Boleso (Lega) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°57′N 9°12′E
Altitudine,202 m s.l.m.
Superficie,"20,7 km²"
Abitanti,1 860[1] (30-11-2025)
Densità,"89,86 ab./km²"
Comuni confinanti,"Argegno, Bellagio, Colonno, Nesso, Sala Comacina, Tremezzina, Veleso, Zelbio"
Altre informazioni,Altre informazioni
Cod. postale,22025
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013126
Cod. catastale,E569
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 356 GG[3]"
Nome abitanti,lezzenesi
Cartografia,Cartografia
Lezzeno,Lezzeno
Lezzeno – MappaPosizione del comune di Lezzeno nella provincia di Como,Lezzeno – MappaPosizione del comune di Lezzeno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
