Nesso comune,Nesso comune.1
,
Nesso – Veduta,Nesso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Massimo Morini (lista civica Rinascita di Nesso) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°55′N 9°10′E
Altitudine,300 m s.l.m.
Superficie,"15,03 km²"
Abitanti,1 075[1] (30-11-2025)
Densità,"71,52 ab./km²"
Frazioni,"Borgo, Castello, Vico, Scerio, Onzanigo, Tronno, Lissogno, Careno."
Comuni confinanti,"Argegno, Brienno, Caglio, Faggeto Lario, Laglio, Lezzeno, Pognana Lario, Sormano, Veleso, Zelbio"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013161
Cod. catastale,F877
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 496 GG[3]"
Nome abitanti,nessesi
Patrono,santi Pietro e Paolo
Giorno festivo,26 giugno
Cartografia,Cartografia
Nesso,Nesso
Nesso – MappaPosizione del comune di Nesso nella provincia di Como,Nesso – MappaPosizione del comune di Nesso nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
