Torno comune,Torno comune.1
,
Torno – Veduta,Torno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Rino Malacrida (lista civica Per Torno) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°51′N 9°07′E
Altitudine,225 m s.l.m.
Superficie,"7,53 km²"
Abitanti,1 036[1] (30-11-2025)
Densità,"137,58 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Blevio, Carate Urio, Como, Faggeto Lario, Moltrasio, Tavernerio"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013223
Cod. catastale,L228
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 262 GG[4]"
Nome abitanti,tornaschi
Cartografia,Cartografia
Torno,Torno
Torno – MappaPosizione del comune di Torno nella provincia di Como,Torno – MappaPosizione del comune di Torno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
