Faggeto Lario comune,Faggeto Lario comune.1
,
Faggeto Lario – Veduta,Faggeto Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Angela Molinari (lista civica Per Quattro) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°51′N 9°10′E
Altitudine,533 m s.l.m.
Superficie,"17,52 km²"
Abitanti,1 071[1] (30-11-2025)
Densità,"61,13 ab./km²"
Frazioni,"Lemna (sede comunale), Molina, Palanzo, Riva"
Comuni confinanti,"Albavilla, Albese con Cassano, Blevio, Caglio, Carate Urio, Caslino d'Erba, Erba, Laglio, Nesso, Pognana Lario, Tavernerio, Torno"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013098
Cod. catastale,D462
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 826 GG[3]"
Nome abitanti,faggetani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Faggeto Lario,Faggeto Lario
Faggeto Lario – MappaPosizione del comune di Faggeto Lario nella provincia di Como,Faggeto Lario – MappaPosizione del comune di Faggeto Lario nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
