Anzano del Parco comune,Anzano del Parco comune.1
,
Anzano del Parco – VedutaTramonto alla Chiesa dell'Addolorata,Anzano del Parco – VedutaTramonto alla Chiesa dell'Addolorata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Rinaldo Meroni (lista civica Insieme per Anzano) dal 9-6-2024
Territorio,Territorio
Coordinate,45°46′N 9°12′E
Altitudine,320 m s.l.m.
Superficie,"3,25 km²"
Abitanti,1 685[1] (30-11-2025)
Densità,"518,46 ab./km²"
Frazioni,"Cavognetto, Cavogno, Lazzaretto, Monticello e Bettolino"
Comuni confinanti,"Alserio, Alzate Brianza, Lurago d'Erba, Monguzzo, Orsenigo"
Altre informazioni,Altre informazioni
Cod. postale,22040
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013009
Cod. catastale,A319
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 537 GG[3]"
Nome abitanti,anzanesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Anzano del Parco,Anzano del Parco
Anzano del Parco – MappaPosizione del comune di Anzano del Parco nella provincia di Como,Anzano del Parco – MappaPosizione del comune di Anzano del Parco nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
