Moltrasio comune,Moltrasio comune.1
,
Moltrasio – Veduta,Moltrasio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giuseppe Carrano (lista civica Generazioni per Moltrasio) dal 9-6-2024
Territorio,Territorio
Coordinate,45°51′37.8″N 9°05′49.92″E
Altitudine,247 m s.l.m.
Superficie,"8,9 km²"
Abitanti,1 486[1] (30-11-2025)
Densità,"166,97 ab./km²"
Frazioni,"Borgo, Carisciano, Casarico, Creolino, Crotti, Luscesino, Roiano, Somaino, Tosnacco, Vergonzano, Vighinzano, Vignola, Casarevolo."
Comuni confinanti,"Blevio, Breggia (CH-TI), Carate Urio, Cernobbio, Schignano, Torno"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013152
Cod. catastale,F305
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 420 GG[3]"
Nome abitanti,moltrasini
Patrono,san Martino e Sant'Agata
Giorno festivo,11 novembre
Cartografia,Cartografia
Moltrasio,Moltrasio
Moltrasio – MappaPosizione del comune di Moltrasio nella provincia di Como,Moltrasio – MappaPosizione del comune di Moltrasio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
