Brenna comune,Brenna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Nazzareno Cappelletti (lista civica Noi Brenna) dal 9-6-2024
Territorio,Territorio
Coordinate,45°45′N 9°11′E
Altitudine,356 m s.l.m.
Superficie,"4,83 km²"
Abitanti,2 189[1] (30-11-2025)
Densità,"453,21 ab./km²"
Frazioni,"Borlasco, Olgelasca, Pozzolo Inferiore"
Comuni confinanti,"Alzate Brianza, Cantù, Carugo, Inverigo, Mariano Comense"
Altre informazioni,Altre informazioni
Cod. postale,22040
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013029
Cod. catastale,B144
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 575 GG[3]"
Nome abitanti,brennesi
Patrono,san Gaetano di Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Brenna,Brenna
Brenna – MappaLocalizzazione del comune di Brenna nella provincia di Como,Brenna – MappaLocalizzazione del comune di Brenna nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
