Uggiate con Ronago comune,Uggiate con Ronago comune.1
,
"Uggiate con Ronago – VedutaPanoramica su Ronago (in primo piano a destra), Trevano (in secondo piano a sinistra e al centro), Uggiate (in secondo piano a destra) e sulla parte finale della Val Mulini (in primo piano in basso).","Uggiate con Ronago – VedutaPanoramica su Ronago (in primo piano a destra), Trevano (in secondo piano a sinistra e al centro), Uggiate (in secondo piano a destra) e sulla parte finale della Val Mulini (in primo piano in basso)."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Ermes Tettamanti (lista civica Progetto Comune) dal 9-6-2024
Data di istituzione,1º gennaio 2024
Territorio,Territorio
Coordinate,45°49′23.12″N 8°57′37.76″E
Superficie,"7,87 km²"
Abitanti,6 825[1] (30-11-2025)
Densità,"867,22 ab./km²"
Frazioni,"Canova, Fornace, Mulini, Romazzana, Ronago, Somazzo, Trevano, Uggiate"
Comuni confinanti,"Albiolo, Bizzarone, Chiasso (CH-TI), Colverde, Faloppio, Novazzano (CH-TI), Valmorea"
Altre informazioni,Altre informazioni
Cod. postale,22027 e 22029
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013256
Cod. catastale,M435
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,uggiatesi ronaghesi e trevanesi
Cartografia,Cartografia
Uggiate con Ronago,Uggiate con Ronago
Uggiate con Ronago – MappaPosizione del comune di Uggiate con Ronago nella provincia di Como,Uggiate con Ronago – MappaPosizione del comune di Uggiate con Ronago nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
