Casnate con Bernate comune,Casnate con Bernate comune.1
,
Casnate con Bernate – VedutaVista su Casnate da Brunate,Casnate con Bernate – VedutaVista su Casnate da Brunate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Anna Seregni (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°45′37.48″N 9°04′26.5″E
Altitudine,342 m s.l.m.
Superficie,"5,22 km²"
Abitanti,5 041[1] (30-11-2025)
Densità,"965,71 ab./km²"
Frazioni,Bernate
Comuni confinanti,"Como, Cucciago, Fino Mornasco, Grandate, Luisago, Senna Comasco"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013053
Cod. catastale,B977
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 555 GG[3]"
Nome abitanti,casnatesi e bernatesi
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Casnate con Bernate,Casnate con Bernate
Casnate con Bernate – MappaPosizione del comune di Casnate con Bernate nella provincia di Como,Casnate con Bernate – MappaPosizione del comune di Casnate con Bernate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
