Lurate Caccivio comune,Lurate Caccivio comune.1
,
Lurate Caccivio – VedutaVista sul centro di Lurate,Lurate Caccivio – VedutaVista sul centro di Lurate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Serena Arrighi (lista civica Valori comuni) dal 9-6-2024
Territorio,Territorio
Coordinate,45°46′N 9°00′E
Altitudine,322 m s.l.m.
Superficie,"5,93 km²"
Abitanti,9 716[1] (30-11-2025)
Densità,"1 638,45 ab./km²"
Frazioni,"Caccivio, Castello, Lurate, Monte Sinai"
Comuni confinanti,"Appiano Gentile, Bulgarograsso, Colverde, Olgiate Comasco, Oltrona di San Mamette, Villa Guardia"
Altre informazioni,Altre informazioni
Cod. postale,22075
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013138
Cod. catastale,E753
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 587 GG[3]"
Nome abitanti,"luratesi (Lurate), cacciviesi (Caccivio), castellesi (frazione Castello)"
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Lurate Caccivio,Lurate Caccivio
Lurate Caccivio – MappaLocalizzazione del comune di Lurate Caccivio nella provincia di Como,Lurate Caccivio – MappaLocalizzazione del comune di Lurate Caccivio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
