Cermenate comune,Cermenate comune.1
,
Cermenate – VedutaTetti del centro storico nella zona del Santuario del Crocifisso,Cermenate – VedutaTetti del centro storico nella zona del Santuario del Crocifisso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luciano Pizzutto (Lega Nord) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′N 9°05′E
Altitudine,297 m s.l.m.
Superficie,"8,18 km²"
Abitanti,9 446[1] (30-11-2025)
Densità,"1 154,77 ab./km²"
Frazioni,"Asnago, Cascina Lavezzari, Freghera, Parmunt, Montesordo"
Comuni confinanti,"Bregnano, Cadorago, Cantù, Carimate, Lazzate (MB), Lentate sul Seveso (MB), Vertemate con Minoprio"
Altre informazioni,Altre informazioni
Cod. postale,22072
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013064
Cod. catastale,C516
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 491 GG[3]"
Nome abitanti,cermenatesi
Patrono,santi Vito e Modesto
Cartografia,Cartografia
Cermenate,Cermenate
Cermenate – MappaPosizione del comune di Cermenate nella provincia di Como,Cermenate – MappaPosizione del comune di Cermenate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
