Longone al Segrino comune,Longone al Segrino comune.1
,
"Longone al Segrino – VedutaS. Maria in Prato, nucleo antico e Torre","Longone al Segrino – VedutaS. Maria in Prato, nucleo antico e Torre"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Carlo Castelnuovo (lista civica di centro-destra Viviamo Longone) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°49′N 9°15′E
Altitudine,368 m s.l.m.
Superficie,"1,6 km²"
Abitanti,1 987[1] (30-11-2025)
Densità,"1 241,88 ab./km²"
Frazioni,Morchiuso
Comuni confinanti,"Canzo, Erba, Eupilio, Proserpio"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013134
Cod. catastale,E679
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 753 GG[3]"
Nome abitanti,longonesi
Patrono,san Fedele
Cartografia,Cartografia
Longone al Segrino,Longone al Segrino
Longone al Segrino – MappaPosizione del comune di Longone al Segrino nella provincia di Como,Longone al Segrino – MappaPosizione del comune di Longone al Segrino nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
