Bulgarograsso comune,Bulgarograsso comune.1
,
Bulgarograsso – Veduta,Bulgarograsso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Fabio Chindamo (lista civica Bulgaro Nuova) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,45°45′N 9°00′E
Altitudine,317 m s.l.m.
Superficie,"3,77 km²"
Abitanti,3 958[1] (30-11-2025)
Densità,"1 049,87 ab./km²"
Comuni confinanti,"Appiano Gentile, Cassina Rizzardi, Guanzate, Lurate Caccivio"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013034
Cod. catastale,B262
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 580 GG[3]"
Nome abitanti,bulgaresi
Patrono,sant'Agata
Giorno festivo,"5 febbraio, 26 luglio"
Cartografia,Cartografia
Bulgarograsso,Bulgarograsso
Bulgarograsso – MappaPosizione del comune di Bulgarograsso nella provincia di Como,Bulgarograsso – MappaPosizione del comune di Bulgarograsso nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
