Pré-Saint-Didier comune,Pré-Saint-Didier comune.1
(IT) Comune di Pré-Saint-Didier (FR) Commune de Pré-Saint-Didier,(IT) Comune di Pré-Saint-Didier (FR) Commune de Pré-Saint-Didier
,
Pré-Saint-Didier – VedutaPré-Saint-Didier dalla passerella sull'orrido di Verney.,Pré-Saint-Didier – VedutaPré-Saint-Didier dalla passerella sull'orrido di Verney.
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Alessandra Uva (lista civica) dal 1-12-2023
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°46′00″N 6°59′00″E
Altitudine,1 004 m s.l.m.
Superficie,"33,4 km²"
Abitanti,959[1] (30-11-2025)
Densità,"28,71 ab./km²"
Frazioni,"Champex, Élévaz, La Balme, Palleusieux, Torrent, Verrand, Revers"
Comuni confinanti,"Courmayeur, La Thuile, Morgex"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007053
Cod. catastale,H042
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 738 GG[3]"
Nome abitanti,(FR) Saint-didierins
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pré-Saint-Didier,Pré-Saint-Didier
Pré-Saint-Didier – MappaPosizione del comune di Pré-Saint-Didier all'interno della Valle d'Aosta,Pré-Saint-Didier – MappaPosizione del comune di Pré-Saint-Didier all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
