Saint-Nicolas comune,Saint-Nicolas comune.1
(IT) Comune di Saint-Nicolas (FR) Commune de Saint-Nicolas,(IT) Comune di Saint-Nicolas (FR) Commune de Saint-Nicolas
,
Saint-Nicolas – Veduta,Saint-Nicolas – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Fossaz-Dessous
Sindaco,Marlène Domaine dal 23-9-2020
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°43′N 7°10′E
Altitudine,1 200 m s.l.m.
Superficie,"15,46 km²"
Abitanti,335[1] (30-11-2025)
Densità,"21,67 ab./km²"
Frazioni,"Cerlogne, Chez-Louitoz, Clavel, Évian, Fossaz-Dessous, Fossaz-Dessus, La Cure, Chaillod, Ravoise, Persod, Petit-Sarriod, Grand-Sarriod, Gerbore, Ferrère, Gratillon, Lyveroulaz, Vens"
Comuni confinanti,"Arvier, Avise, Saint-Pierre, Villeneuve"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007061
Cod. catastale,H672
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 032 GG[3]"
Nome abitanti,(FR) Saint-nicolaëns
Patrono,san Nicola
Giorno festivo,9 maggio
Cartografia,Cartografia
Fossaz-Dessous,Fossaz-Dessous
Saint-Nicolas – MappaPosizione del comune di Saint-Nicolas all'interno della Valle d'Aosta,Saint-Nicolas – MappaPosizione del comune di Saint-Nicolas all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
