Sarre comune,Sarre comune.1
,
Sarre – Veduta,Sarre – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Tissoret
Sindaco,Massimo Pépellin (lista civica) dal 10-5-2015
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°43′04.1″N 7°15′27″E
Altitudine,631 m s.l.m.
Superficie,"28,28 km²"
Abitanti,4 821[1] (30-11-2025)
Densità,"170,47 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Aosta, Aymavilles, Gignod, Gressan, Jovençan, Saint-Pierre"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007066
Cod. catastale,I442
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 935 GG[3]"
Nome abitanti,(FR) Sarrois o Sarroleins
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Tissoret,Tissoret
Sarre – MappaPosizione del comune di Sarre all'interno della Valle d'Aosta,Sarre – MappaPosizione del comune di Sarre all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
