Aosta (FR) Aoste comune,Aosta (FR) Aoste comune.1
(IT) Città di Aosta (FR) Ville d'Aoste,(IT) Città di Aosta (FR) Ville d'Aoste
,
"Aosta (FR) Aoste – VedutaPanorama della città dalla collina di Ampaillant (Charvensod). Sullo sfondo, il Grand Combin.","Aosta (FR) Aoste – VedutaPanorama della città dalla collina di Ampaillant (Charvensod). Sullo sfondo, il Grand Combin."
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Raffaele Rocco (indipendente di centro-sinistra) dal 13-10-2025
Lingue ufficiali,"italiano, francese"
Territorio,Territorio
Coordinate,45°44′14″N 7°19′14″E
Altitudine,583 m s.l.m.
Superficie,"21,39 km²"
Abitanti,33 130[1] (30-11-2025)
Densità,"1 548,85 ab./km²"
Frazioni,"Arpuilles, Le Beauregard, Bibian, La Bioulaz, Borgnalle, Le Borgnon, Le Bourg, Brenloz, Busseyaz, Les Capucins, Cache, La Combe, Le Chabloz, Chambarlet (Tzambarlet), Champailler, Le Champlan, Le Chanté (Tsanté), Charbonnier, Châtaigner, Le Châtelet, Le Clou-Neuf, Cognon, Collignon, Condémine, Cossan, La Crête-Bénie, Le Créton, Le Crou, Duvet, L'Épinettaz, Entrebin, Excenex, Les Fourches, Le Gotrau, Le Montcenis, Le Montfleury, Pallin, Paravère, Pléod, Le Plot, Porossan, Le Quartier-de-la-Doire, La Riondaz, La Rochère, Saint-Étienne, Saint-Martin-de-Corléans, Saint-Roch, Le Saraillon, Saumont, Signayes, Le Talapé, Les Vignoles, Viseran, Vorpillières[2]"
Comuni confinanti,"Charvensod, Gignod, Gressan, Pollein, Roisan, Saint-Christophe, Sarre"
Altre informazioni,Altre informazioni
Cod. postale,11100
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007003
Cod. catastale,A326
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 850 GG[4]"
Nome abitanti,(IT) aostani (FR) Aostois (patois) veullatsoù
Patrono,san Grato
Giorno festivo,7 settembre
Cartografia,Cartografia
Aosta (FR) Aoste,Aosta (FR) Aoste
Aosta (FR) Aoste – MappaPosizione del comune di Aosta all'interno della Valle d'Aosta,Aosta (FR) Aoste – MappaPosizione del comune di Aosta all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
