Gressoney-Saint-Jean comune,Gressoney-Saint-Jean comune.1
(IT) Comune di Gressoney-Saint-Jean (FR) Commune de Gressoney-Saint-Jean (DE) Gemeinde Gressoney-Saint-Jean,(IT) Comune di Gressoney-Saint-Jean (FR) Commune de Gressoney-Saint-Jean (DE) Gemeinde Gressoney-Saint-Jean
,
Gressoney-Saint-Jean – Veduta,Gressoney-Saint-Jean – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Obre Platz
Sindaco,Mattia Alliod (lista civica Greschòney fer more) dal 23-9-2020
Lingue ufficiali,"Francese, italiano, tedesco"
Territorio,Territorio
Coordinate del capoluogo,45°47′N 7°49′E
Altitudine,1 385 m s.l.m.
Superficie,"69,65 km²"
Abitanti,770[1] (30-11-2025)
Densità,"11,06 ab./km²"
Frazioni,"Tra parentesi i toponimi in tedesco standard: Bieltschòcke (Bieltschucken), Bode, Chaschtal, Chreffo, Dresal, Loomatto (Loomatten), Méttelteil (Mittelteil), Mettie (Mettien), Noversch, Òbre Biel (Ober Biel), Òbre Champsil (Ober Champsil), Òbro Verdebio (Ober Verdebien), Ònderteil (Unterteil), Òndre Biel (Unter Biel), Òndre Champsil (Unter Champsil), Òndro Verdebio (Unter Verdebien), Perletoa, Predeloasch, Stobene, Trentostäg (Trentosbrück), Tschemenoal (Chemonal), Tschoarde, Tschossil, Woald (Wald)"
Comuni confinanti,"Alagna Valsesia (VC), Ayas, Brusson, Gaby, Gressoney-La-Trinité, Rassa (VC)"
Altre informazioni,Altre informazioni
Cod. postale,11025
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007033
Cod. catastale,E168
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 726 GG[3]"
Nome abitanti,(IT) gressonari (FR) Gressonards (DE) Greschoneyer (titsch) Greschòneyra
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Obre Platz,Obre Platz
Gressoney-Saint-Jean – MappaPosizione del comune di Gressoney-Saint-Jean all'interno della Valle d'Aosta,Gressoney-Saint-Jean – MappaPosizione del comune di Gressoney-Saint-Jean all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
