La Thuile comune,La Thuile comune.1
(IT) Comune di La Thuile (FR) Commune de La Thuile,(IT) Comune di La Thuile (FR) Commune de La Thuile
,
La Thuile – VedutaVeduta del capoluogo,La Thuile – VedutaVeduta del capoluogo
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Mathieu Ferraris [1][2] (lista civica) dall'11-5-2015
Lingue ufficiali,"francese, italiano"
Territorio,Territorio
Coordinate,45°42′57.6″N 6°57′00″E
Altitudine,1 441 m s.l.m.
Superficie,"125,67 km²"
Abitanti,741[3] (30-11-2025)
Densità,"5,9 ab./km²"
Frazioni,"Arly, Bathieu, Buic, Entrèves, Grande Golette, Les Granges, Moulin, Petite Golette, Pont Serrand, Thovex, Villaret"
Comuni confinanti,"Arvier, Avise, Bourg-Saint-Maurice (FR-73), Courmayeur, La Salle, Montvalezan (FR-73), Morgex, Pré-Saint-Didier, Sainte-Foy-Tarentaise (FR-73), Séez (FR-73), Valgrisenche"
Altre informazioni,Altre informazioni
Cod. postale,11016
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007041
Cod. catastale,E470
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 4 394 GG[5]"
Nome abitanti,(FR) Thuileins
Patrono,san Nicola
Giorno festivo,9 maggio
Cartografia,Cartografia
La Thuile,La Thuile
La Thuile – MappaPosizione del comune di La Thuile all'interno della Valle d'Aosta,La Thuile – MappaPosizione del comune di La Thuile all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
