Bard comune,Bard comune.1
(IT) Comune di Bard (FR) Commune de Bard,(IT) Comune di Bard (FR) Commune de Bard
,
Bard – VedutaPanorama di Bard,Bard – VedutaPanorama di Bard
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Deborah Jacquemet (lista civica) dal 19-5-2015
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°37′N 7°45′E
Altitudine,400 m s.l.m.
Superficie,"3,03[1] km²"
Abitanti,99[2] (30-11-2025)
Densità,"32,67 ab./km²"
Frazioni,"Albard-de-Bard, La Barmaz, Le Bourg, Le Chemin-de-Saint-Jean, Le Chesal, Le Corlet, La Cou, Coudrey, Le Crous, Le Fort, La Fumas, Hors-des-Portes, Jacquemet, Liéron, Lillaz, Nissert, Le Petit-Fort, Sainte-Anne, Saint-Jean, Valsourdaz[3]"
Comuni confinanti,"Arnad, Donnas, Hône"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007009
Cod. catastale,A643
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 832 GG[5]"
Nome abitanti,(IT) bardesi (FR) Bardois (FRP) bardelèn
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bard,Bard
Bard – MappaPosizione del comune di Bard all'interno della Valle d'Aosta,Bard – MappaPosizione del comune di Bard all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
