Saint-Rhémy-en-Bosses comune,Saint-Rhémy-en-Bosses comune.1
(IT) Comune di Saint-Rhémy-en-Bosses (FR) Commune de Saint-Rhémy-en-Bosses,(IT) Comune di Saint-Rhémy-en-Bosses (FR) Commune de Saint-Rhémy-en-Bosses
,
Saint-Rhémy-en-Bosses – VedutaPanorama invernale di Saint-Léonard,Saint-Rhémy-en-Bosses – VedutaPanorama invernale di Saint-Léonard
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Saint-Léonard
Sindaco,Alberto Ciabattoni (lista civica Travailler aujourd'hui) dal 24-5-2010
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°49′25.48″N 7°10′55.88″E
Altitudine,1 632 m s.l.m.
Superficie,"64,88 km²"
Abitanti,356[1] (30-11-2025)
Densità,"5,49 ab./km²"
Frazioni,"L'Arp-du-Jeu, Le Barral, Cerisey, Chez-Vuillien, Fontintes, La Combaz, Cuchepache, Flassin, Le Grand-Saint-Bernard, Les Gorres, Laval, Les Maisonnettes, Marcellinaz, Les Merloz, Les Mottes, Le Pleiney, Le Pont, Pernin, Praz-Gentor, Praz-Mollé, Praz-d'Arc, Praz-du-Mas-Berluc, Praz-du-Mas-Farcoz, Le Ronc, Saint-Léonard (chef-lieu), Saint-Rhémy, Le Suil, Le Tat, La Thuilettaz, La Vulpillière[2]"
Comuni confinanti,"Avise, Bourg-Saint-Pierre (CH-VS), Courmayeur, Gignod, La Salle, Orsières (CH-VS), Saint-Oyen, Saint-Pierre"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007064
Cod. catastale,H675
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 511 GG[4]"
Nome abitanti,(FR) Saint-rhémiars o Bossoleins
Patrono,san Leonardo di Noblac
Giorno festivo,6 novembre
Cartografia,Cartografia
Saint-Léonard,Saint-Léonard
Saint-Rhémy-en-Bosses – MappaPosizione del comune di Saint-Rhémy-en-Bosses all'interno della Valle d'Aosta,Saint-Rhémy-en-Bosses – MappaPosizione del comune di Saint-Rhémy-en-Bosses all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
