Ollomont comune,Ollomont comune.1
(IT) Comune di Ollomont (FR) Commune d'Ollomont,(IT) Comune di Ollomont (FR) Commune d'Ollomont
,
Ollomont – Veduta,Ollomont – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,David Vevey (lista civica Ensemble pour Ollomont) dal 20-09-2020
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°51′N 7°19′E
Altitudine,1 335 m s.l.m.
Superficie,"53,48 km²"
Abitanti,170[1] (30-11-2025)
Densità,"3,18 ab./km²"
Frazioni,"Balme, Barliard, Bas, By, Clapey, Chef-lieu, Chanté, Chez-Collet, Cognein, Créton, Les Croux, Les Fontaines, Glassier, La Cou, Morion, Rey, Vaud, Vesey, Vevey, Vouéces"
Comuni confinanti,"Bionaz, Bourg-Saint-Pierre (CH-VS), Doues, Étroubles, Oyace, Val de Bagnes (CH-VS), Valpelline"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007046
Cod. catastale,G045
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 266 GG[3]"
Nome abitanti,(FR) Ollomontois[4] ollomonèn (-èntse) (patois)
Cartografia,Cartografia
Ollomont,Ollomont
Ollomont – MappaPosizione del comune di Ollomont all'interno della Valle d'Aosta,Ollomont – MappaPosizione del comune di Ollomont all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
