Saint-Pierre comune,Saint-Pierre comune.1
(IT) Comune di Saint-Pierre (FR) Commune de Saint-Pierre,(IT) Comune di Saint-Pierre (FR) Commune de Saint-Pierre
,
Saint-Pierre – Veduta,Saint-Pierre – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Tâche
Sindaco,Andrea Barmaz (lista civica) dal 16-5-2022
Lingue ufficiali,"italiano, Francese"
Territorio,Territorio
Coordinate del capoluogo,45°42′36″N 7°13′33.6″E
Altitudine,731 m s.l.m.
Superficie,"26,18 km²"
Abitanti,3 258[1] (30-11-2025)
Densità,"124,45 ab./km²"
Frazioni,"Bourg (il capoluogo : rue Conrad Gex, località Chévreyron, rue de la liberté, rue Émile Chanoux, rue du Châtel-Argent, rue de la tour, rue 4 Novembre, Clos Silvestre, rue de la colline, rue de la gare) Alleysin, Babelon, Bachod, Bercher, Bosses, Bressan, Breyes, Bussan Dessous, Bussan Dessus, Bussan du milieu, Caillet, Champrétavy, Chantel, Charrion, Château-Feuillet, Cognein, Combaz, Combellin, Creuzet, Étavel, Grandzettaz, Homené dessous, Homené dessus, Jacquemin, Jeanton, Jonin, La Barmaz, La Charrère, La Croix, La Grange, La Pièce, La Rosière, Luboz, Méod dessous, Méod dessus, Montagnine, Ordines, Orléans dessous, Orléans dessus, Orléantson, Pelon, Perchut, Plan Châtelair, Pommier, Praulin, Praximond, Preille, Prieuré, Ronchaille, Roserettaz, Rossan, Rumiod dessous, Rumiod dessus, Séez, Tâche, Torrette, Véreytaz, Vergnod, Vermian, Vernes, Verrogne, Vétan dessous, Vétan dessus, Vétan, Villette[2]"
Comuni confinanti,"Avise, Aymavilles, Gignod, Saint-Nicolas, Saint-Rhémy-en-Bosses, Sarre, Villeneuve"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007063
Cod. catastale,H674
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 263 GG[4]"
Nome abitanti,Saint-pierrolein (fr.) Sèn Pierolèn/-tse o Sèn Piolèn/-tse (patois)[5]
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Tâche,Tâche
Saint-Pierre – MappaPosizione del comune di Saint-Pierre all'interno della Valle d'Aosta,Saint-Pierre – MappaPosizione del comune di Saint-Pierre all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
