Niscemi comune,Niscemi comune.1
,
"Niscemi – VedutaVeduta aerea del centro storico, 2021","Niscemi – VedutaVeduta aerea del centro storico, 2021"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Massimiliano Valentino Conti (lista civica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,37°09′N 14°23′E
Altitudine,332 m s.l.m.
Superficie,"96,82 km²"
Abitanti,24 548[1] (30-11-2025)
Densità,"253,54 ab./km²"
Comuni confinanti,"Caltagirone (CT), Gela, Mazzarino"
Altre informazioni,Altre informazioni
Cod. postale,93015
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,085013
Cod. catastale,F899
Targa,CL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 164 GG[3]"
Nome abitanti,niscemesi
Patrono,Maria Santissima del Bosco
Giorno festivo,"21 maggio, seconda domenica d'agosto"
Cartografia,Cartografia
Niscemi,Niscemi
Niscemi – MappaPosizione del comune di Niscemi nel libero consorzio comunale di Caltanissetta,Niscemi – MappaPosizione del comune di Niscemi nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
