Riesi comune,Riesi comune.1
,
Riesi – VedutaPanorama di Riesi,Riesi – VedutaPanorama di Riesi
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Salvatore Emiliano Sardella (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°17′N 14°05′E
Altitudine,330 m s.l.m.
Superficie,67 km²
Abitanti,10 178[1] (30-11-2025)
Densità,"151,91 ab./km²"
Comuni confinanti,"Barrafranca (EN), Butera, Mazzarino, Pietraperzia (EN), Ravanusa (AG), Sommatino"
Altre informazioni,Altre informazioni
Cod. postale,93016
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085015
Cod. catastale,H281
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 161 GG[3]"
Nome abitanti,riesini
Patrono,Madonna della Catena
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Riesi,Riesi
Riesi – MappaPosizione del comune di Riesi nel libero consorzio comunale di Caltanissetta,Riesi – MappaPosizione del comune di Riesi nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
