Marianopoli comune,Marianopoli comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Salvatore Noto (lista civica) dal 13-6-2017
Territorio,Territorio
Coordinate,37°36′N 13°55′E
Altitudine,720 m s.l.m.
Superficie,"13,07 km²"
Abitanti,1 507[1] (30-11-2025)
Densità,"115,3 ab./km²"
Comuni confinanti,"Caltanissetta, Mussomeli, Petralia Sottana (PA), Villalba"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085008
Cod. catastale,E953
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 754 GG[3]"
Nome abitanti,marianopolitani
Patrono,san Prospero
Giorno festivo,primo sabato di agosto
Cartografia,Cartografia
Marianopoli,Marianopoli
Marianopoli – MappaPosizione del comune di Marianopoli nel libero consorzio comunale di Caltanissetta,Marianopoli – MappaPosizione del comune di Marianopoli nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
