Delia comune,Delia comune.1
,
Delia – Veduta,Delia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Gianfilippo Maria Bancheri (lista civica) dal 12-6-2013
Territorio,Territorio
Coordinate,37°21′N 13°56′E
Altitudine,420 m s.l.m.
Superficie,"12,4 km²"
Abitanti,3 850[1] (30-11-2025)
Densità,"310,48 ab./km²"
Comuni confinanti,"Caltanissetta, Canicattì (AG), Naro (AG), Sommatino (CL)"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,085006
Cod. catastale,D267
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 298 GG[3]"
Nome abitanti,deliani
Patrono,santa Rosalia
Giorno festivo,4 settembre
Cartografia,Cartografia
Delia,Delia
Delia – MappaPosizione del comune di Delia nel libero consorzio comunale di Caltanissetta,Delia – MappaPosizione del comune di Delia nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
