Resuttano comune,Resuttano comune.1
,
Resuttano – Veduta,Resuttano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Rosario Carapezza (lista civica) dall'8-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,37°41′N 14°02′E
Altitudine,600 m s.l.m.
Superficie,"38,27 km²"
Abitanti,1 687[1] (30-11-2025)
Densità,"44,08 ab./km²"
Frazioni,Ciolino
Comuni confinanti,"Alimena (PA), Blufi (PA), Bompietro (PA), Petralia Sottana (PA), Santa Caterina Villarmosa"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085014
Cod. catastale,H245
Targa,CL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 572 GG[3]"
Nome abitanti,resuttanesi
Patrono,santissimo Crocifisso
Giorno festivo,4 maggio
Cartografia,Cartografia
Resuttano,Resuttano
Resuttano – MappaPosizione del comune di Resuttano nel libero consorzio comunale di Caltanissetta,Resuttano – MappaPosizione del comune di Resuttano nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
