Mussomeli comune,Mussomeli comune.1
,
Mussomeli – VedutaPanorama di Mussomeli,Mussomeli – VedutaPanorama di Mussomeli
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Giuseppe Sebastiano Catania (FdI) dal 5-6-2015 (2º mandato dal 23-10-2020)
Territorio,Territorio
Coordinate,37°34′46″N 13°45′09″E
Altitudine,650 m s.l.m.
Superficie,"164,43 km²"
Abitanti,9 745[1] (30-11-2025)
Densità,"59,27 ab./km²"
Comuni confinanti,"Acquaviva Platani, Bompensiere, Caltanissetta, Cammarata (AG), Marianopoli, Montedoro, San Cataldo, Serradifalco, Sutera, Villalba"
Altre informazioni,Altre informazioni
Cod. postale,93014
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085012
Cod. catastale,F830
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 763 GG[3]"
Nome abitanti,mussomelesi
Patrono,Maria Santissima dei Miracoli
Giorno festivo,8 settembre
Cartografia,Cartografia
Mussomeli,Mussomeli
Mussomeli – MappaPosizione del comune di Mussomeli nel libero consorzio comunale di Caltanissetta,Mussomeli – MappaPosizione del comune di Mussomeli nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
