Serradifalco comune,Serradifalco comune.1
,
Serradifalco – Veduta,Serradifalco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Leonardo Burgio (LSP) dal 2-6-2015
Territorio,Territorio
Coordinate,37°27′13.82″N 13°52′49.66″E
Altitudine,504 m s.l.m.
Superficie,"41,94 km²"
Abitanti,5 344[1] (30-11-2025)
Densità,"127,42 ab./km²"
Frazioni,Grottadacqua
Comuni confinanti,"Caltanissetta, Canicattì (AG), Montedoro, Mussomeli, San Cataldo"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085018
Cod. catastale,I644
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 426 GG[3]"
Nome abitanti,serradifalchesi
Patrono,san Leonardo Abate di Noblac
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Serradifalco,Serradifalco
Serradifalco – MappaPosizione del comune di Serradifalco nel libero consorzio comunale di Caltanissetta,Serradifalco – MappaPosizione del comune di Serradifalco nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
