Acquaviva Platani comune,Acquaviva Platani comune.1
,
Acquaviva Platani – Veduta,Acquaviva Platani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Salvatore Caruso (lista civica Liberamente uniti per Acquaviva) dal 12-6-2017 (3º mandato dal 14-6-2022)
Territorio,Territorio
Coordinate,37°34′N 13°42′E
Altitudine,558 m s.l.m.
Superficie,"14,63 km²"
Abitanti,824[1] (30-11-2025)
Densità,"56,32 ab./km²"
Comuni confinanti,"Cammarata (AG), Casteltermini (AG), Mussomeli, Sutera"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085001
Cod. catastale,A049
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 508 GG[3]"
Nome abitanti,acquavivesi
Patrono,SS. Crocifisso delle Grazie
Giorno festivo,terza domenica di settembre
PIL procapite,(nominale) €9.575
Cartografia,Cartografia
Acquaviva Platani,Acquaviva Platani
Acquaviva Platani – MappaPosizione del comune di Acquaviva Platani nel libero consorzio comunale di Caltanissetta,Acquaviva Platani – MappaPosizione del comune di Acquaviva Platani nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
