Butera comune,Butera comune.1
,
Butera – VedutaButera vista dal Piano della Fiera,Butera – VedutaButera vista dal Piano della Fiera
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Giovanni Zuccalà (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,37°11′N 14°11′E
Altitudine,402 m s.l.m.
Superficie,"298,55 km²"
Abitanti,4 054[1] (30-11-2025)
Densità,"13,58 ab./km²"
Frazioni,"Marina di Butera, Falconara"
Comuni confinanti,"Gela, Licata (AG), Mazzarino, Ravanusa (AG), Riesi"
Altre informazioni,Altre informazioni
Cod. postale,93011
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085003
Cod. catastale,B302
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 271 GG[3]"
Nome abitanti,buteresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Butera,Butera
Butera – MappaPosizione del comune di Butera nel libero consorzio comunale di Caltanissetta,Butera – MappaPosizione del comune di Butera nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
