Gela comune,Gela comune.1
Comune di Gela,Comune di Gela
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Gela – VedutaVeduta dal pontile sbarcatoio, 2015","Gela – VedutaVeduta dal pontile sbarcatoio, 2015"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Giuseppe Terenziano Di Stefano (indipendente di centro-sinistra) dal 24-6-2024
Data di istituzione,688 a.C.
Territorio,Territorio
Coordinate,37°04′N 14°15′E
Altitudine,46 m s.l.m.
Superficie,"279,07 km²"
Abitanti,70 156[1] (30-11-2025)
Densità,"251,39 ab./km²"
Frazioni,Manfria
Comuni confinanti,"Acate (RG), Caltagirone (CT), Butera, Mazzarino, Niscemi"
Altre informazioni,Altre informazioni
Cod. postale,93012
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,085007
Cod. catastale,D960
Targa,CL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 822 GG[3]"
Nome abitanti,gelesi
Patrono,Maria Santissima dell'Alemanna
Giorno festivo,8 settembre
Motto,"(LA) Heraclea Civitas Antiquissima (IT) Eraclea, Città Antichissima"
Cartografia,Cartografia
Gela,Gela
Gela – MappaPosizione del comune di Gela nel libero consorzio comunale di Caltanissetta,Gela – MappaPosizione del comune di Gela nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
