Santa Caterina Villarmosa comune,Santa Caterina Villarmosa comune.1
,
Santa Caterina Villarmosa – Veduta,Santa Caterina Villarmosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Giuseppe Ippolito (lista civica Santa Caterina a vele spiegate) dal 6-10-2020
Territorio,Territorio
Coordinate,37°36′N 14°02′E
Altitudine,650 m s.l.m.
Superficie,"75,82 km²"
Abitanti,4 434[1] (30-11-2025)
Densità,"58,48 ab./km²"
Frazioni,"San Nicola, Turolifi"
Comuni confinanti,"Alimena (PA), Caltanissetta, Enna (EN), Petralia Sottana (PA), Resuttano, Villarosa (EN)"
Altre informazioni,Altre informazioni
Cod. postale,93018
Prefisso,0934 e l
Fuso orario,UTC+1
Codice ISTAT,085017
Cod. catastale,I169
Targa,CL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 581 GG[3]"
Nome abitanti,caterinesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 settembre
Cartografia,Cartografia
Santa Caterina Villarmosa,Santa Caterina Villarmosa
Santa Caterina Villarmosa – MappaPosizione del comune di Santa Caterina Villarmosa nel libero consorzio comunale di Caltanissetta,Santa Caterina Villarmosa – MappaPosizione del comune di Santa Caterina Villarmosa nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
