Sommatino comune,Sommatino comune.1
,
"Sommatino – VedutaPanorama aereo, 2020","Sommatino – VedutaPanorama aereo, 2020"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Salvatore Letizia (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°20′13″N 13°59′51″E
Altitudine,359 m s.l.m.
Superficie,"34,76 km²"
Abitanti,6 221[1] (30-11-2025)
Densità,"178,97 ab./km²"
Comuni confinanti,"Caltanissetta, Delia, Mazzarino, Naro (AG), Ravanusa (AG), Riesi"
Altre informazioni,Altre informazioni
Cod. postale,93019
Prefisso,0922
Fuso orario,UTC+1
Codice ISTAT,085019
Cod. catastale,I824
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 205 GG[3]"
Nome abitanti,sommatinesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Sommatino,Sommatino
Sommatino – MappaPosizione del comune di Sommatino nel libero consorzio comunale di Caltanissetta,Sommatino – MappaPosizione del comune di Sommatino nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
