Milena comune,Milena comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Claudio Salvatore Cipolla (lista civica) dal 12-6-2018
Territorio,Territorio
Coordinate,37°28′N 13°44′E
Altitudine,423 m s.l.m.
Superficie,"24,63 km²"
Abitanti,2 609[1] (30-11-2025)
Densità,"105,93 ab./km²"
Frazioni,"Villaggi: Balilla, Battisti, Grappa, Mangarelli, Masaniello"
Comuni confinanti,"Bompensiere, Campofranco, Grotte (AG), Racalmuto (AG), Sutera"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085010
Cod. catastale,E618
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 373 GG[3]"
Nome abitanti,milenesi/milocchesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Milena,Milena
Milena – MappaPosizione del comune di Milena nel libero consorzio comunale di Caltanissetta,Milena – MappaPosizione del comune di Milena nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
