Mazzarino comune,Mazzarino comune.1
,
Mazzarino – VedutaVeduta notturna del centro storico,Mazzarino – VedutaVeduta notturna del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Domenico Faraci (lista civica) dal 12-6-2024
Territorio,Territorio
Coordinate,37°18′N 14°12′E
Altitudine,553 m s.l.m.
Superficie,"295,59 km²"
Abitanti,10 585[1] (30-11-2025)
Densità,"35,81 ab./km²"
Comuni confinanti,"Barrafranca (EN), Butera, Caltagirone (CT), Caltanissetta, Gela, Niscemi, Piazza Armerina (EN), Pietraperzia (EN), Ravanusa (AG), Riesi, San Cono (CT), San Michele di Ganzaria (CT), Sommatino"
Altre informazioni,Altre informazioni
Cod. postale,93013
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085009
Cod. catastale,F065
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 544 GG[3]"
Nome abitanti,mazzarinesi
Patrono,Maria Santissima del Mazzaro
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Mazzarino,Mazzarino
Mazzarino – MappaPosizione del comune di Mazzarino nel libero consorzio comunale di Caltanissetta,Mazzarino – MappaPosizione del comune di Mazzarino nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
