San Cataldo comune,San Cataldo comune.1
,
San Cataldo – Veduta,San Cataldo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Gioacchino Comparato (M5S) dal 25-10-2021
Data di istituzione,1607
Territorio,Territorio
Coordinate,37°29′N 13°59′E
Altitudine,625 m s.l.m.
Superficie,"72,78 km²"
Abitanti,20 245[1] (30-11-2025)
Densità,"278,17 ab./km²"
Frazioni,"Bigini, Borgo Palo, Bosco, Mimiani Scalo, Roccella"
Comuni confinanti,"Caltanissetta, Mussomeli, Serradifalco"
Altre informazioni,Altre informazioni
Cod. postale,93017
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085016
Cod. catastale,H792
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 637 GG[3]"
Nome abitanti,sancataldesi
Patrono,san Cataldo
Giorno festivo,10 maggio
Cartografia,Cartografia
San Cataldo,San Cataldo
San Cataldo – MappaPosizione del comune di San Cataldo nel libero consorzio comunale di Caltanissetta,San Cataldo – MappaPosizione del comune di San Cataldo nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
