Villalba comune,Villalba comune.1
,
Villalba – Veduta,Villalba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Caltanissetta
Amministrazione,Amministrazione
Sindaco,Maria Paola Immordino (lista civica) dal 6-10-2020
Territorio,Territorio
Coordinate,37°39′N 13°50′E
Altitudine,620 m s.l.m.
Superficie,"41,82 km²"
Abitanti,1 346[1] (30-11-2025)
Densità,"32,19 ab./km²"
Comuni confinanti,"Cammarata (AG), Castellana Sicula (PA), Marianopoli, Mussomeli, Petralia Sottana (PA), Polizzi Generosa (PA), Vallelunga Pratameno"
Altre informazioni,Altre informazioni
Cod. postale,93010
Prefisso,0934
Fuso orario,UTC+1
Codice ISTAT,085022
Cod. catastale,L959
Targa,CL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 602 GG[3]"
Nome abitanti,villalbesi
Patrono,san Giuseppe
Giorno festivo,prima domenica dopo Ferragosto
Cartografia,Cartografia
Villalba,Villalba
Villalba – MappaPosizione del comune di Villalba nel libero consorzio comunale di Caltanissetta,Villalba – MappaPosizione del comune di Villalba nel libero consorzio comunale di Caltanissetta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
