Ponte dell'Olio comune,Ponte dell'Olio comune.1
,
Ponte dell'Olio – VedutaIl castello di Riva,Ponte dell'Olio – VedutaIl castello di Riva
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,"Alessandro Chiesa (Lega, Fratelli d'Italia, Forza Italia - PPE e lista civica Pontolliesi per Ponte) dal 27-5-2019 (2º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,44°52′02.46″N 9°38′32.14″E
Altitudine,217 m s.l.m.
Superficie,"43,92 km²"
Abitanti,4 701[1] (30-11-2025)
Densità,"107,04 ab./km²"
Frazioni,"Biana, Cassano, Castione, Folignano, Monte Santo, Sarmata, Torrano, Zaffignano"
Comuni confinanti,"Bettola, Gropparello, San Giorgio Piacentino, Vigolzone"
Altre informazioni,Altre informazioni
Cod. postale,29028
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033036
Cod. catastale,G842
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,pontolliesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Ponte dell'Olio,Ponte dell'Olio
Ponte dell'Olio – MappaPosizione del comune di Ponte dell'Olio nella provincia di Piacenza,Ponte dell'Olio – MappaPosizione del comune di Ponte dell'Olio nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
