Agazzano comune,Agazzano comune.1
,
Agazzano – VedutaPiazza Europa e il municipio,Agazzano – VedutaPiazza Europa e il municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Maurizio Cigalini (lista civica L'altra Agazzano) dal 3-10-2021
Territorio,Territorio
Coordinate,44°57′N 9°31′E
Altitudine,187 m s.l.m.
Superficie,"36,15 km²"
Abitanti,2 047[1] (30-11-2025)
Densità,"56,63 ab./km²"
Frazioni,"Bastardina, Cantone, Montebolzone, Rivasso, Sarturano, Tavernago, Verdeto"
Comuni confinanti,"Borgonovo Val Tidone, Gazzola, Gragnano Trebbiense, Pianello Val Tidone, Piozzano"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033001
Cod. catastale,A067
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,agazzanesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Agazzano,Agazzano
Agazzano – MappaPosizione del comune di Agazzano nella provincia di Piacenza,Agazzano – MappaPosizione del comune di Agazzano nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
