Besenzone comune,Besenzone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Carlo Filiberti (lista civica di centro-destra per Besenzone) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°59′N 9°57′E
Altitudine,48 m s.l.m.
Superficie,"23,95 km²"
Abitanti,937[1] (30-11-2025)
Densità,"39,12 ab./km²"
Comuni confinanti,"Alseno, Busseto (PR), Cortemaggiore, Fiorenzuola d'Arda, Villanova sull'Arda"
Altre informazioni,Altre informazioni
Cod. postale,29010
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033003
Cod. catastale,A823
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 518 GG[3]"
Nome abitanti,besenzonesi
Patrono,San Vitale
Cartografia,Cartografia
Besenzone,Besenzone
Besenzone – MappaPosizione del comune di Besenzone nella provincia di Piacenza,Besenzone – MappaPosizione del comune di Besenzone nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
