Castel San Giovanni comune,Castel San Giovanni comune.1
,
Castel San Giovanni – Veduta,Castel San Giovanni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Valentina Stragliati (lista civica di centro-destra Castellani con Valentina Stragliati sindaco) dal 10-6-2024
Territorio,Territorio
Coordinate,45°03′32.64″N 9°26′03.04″E
Altitudine,74 m s.l.m.
Superficie,"44,04 km²"
Abitanti,14 387[1] (30-11-2025)
Densità,"326,68 ab./km²"
Frazioni,"Bosco Tosca, Campo d'Oro, Creta, Fontana Pradosa, Ganaghello, La Gatta, Pievetta"
Comuni confinanti,"Arena Po (PV), Borgonovo Val Tidone, Bosnasco (PV), Pieve Porto Morone (PV), Rovescala (PV), San Damiano al Colle (PV), Sarmato, Ziano Piacentino"
Altre informazioni,Altre informazioni
Cod. postale,29015
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033013
Cod. catastale,C261
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 552 GG[3]"
Nome abitanti,castellani
Patrono,san Giovanni
Giorno festivo,24 giugno
Cartografia,Cartografia
Castel San Giovanni,Castel San Giovanni
Castel San Giovanni – MappaPosizione del comune di Castel San Giovanni nella provincia di Piacenza,Castel San Giovanni – MappaPosizione del comune di Castel San Giovanni nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
