Coli comune,Coli comune.1
,
Coli – VedutaI Piani di Coli,Coli – VedutaI Piani di Coli
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Ester Pugni (lista civica In comune con noi) dal 9-6-2024
Territorio,Territorio
Coordinate,44°45′N 9°25′E
Altitudine,638 m s.l.m.
Superficie,"71,69 km²"
Abitanti,868[1] (30-11-2025)
Densità,"12,11 ab./km²"
Frazioni,"Aglio, Agnelli, Averaldi, Barche, Boioli, Boioli di Perino, Bruni, Caminata Boselli, Cascine, Cimarini, Colombaia, Cornaro, Costa Caminata, Costiere, Faraneto, Ferrari, Filipazzi, Fontana, Forno Sopra, Fossoli, Gavi, Ghini, Marubbi, Molino Pellegri, Osera, Palazzo Torre, Peli, Perino, Pescina, Peveri, Piane d'Aglio, Poggio, Poggiolo, Ponte' Sopra, Pradaglione, Pradella, Roncaiolo, Rosso, Rovere, Santa Cecilia, Scabiazza."
Comuni confinanti,"Bettola, Bobbio, Corte Brugnatella, Farini, Ferriere, Travo"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033016
Cod. catastale,C838
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 274 GG[3]"
Nome abitanti,colesi
Patrono,"san Vito, sant'Agostino"
Giorno festivo,"15 giugno, 28 agosto"
Cartografia,Cartografia
Coli,Coli
Coli – MappaPosizione del comune di Coli nella provincia di Piacenza,Coli – MappaPosizione del comune di Coli nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
