Caorso comune,Caorso comune.1
,
Caorso – VedutaIl fiume Po nei pressi della frazione di Roncarolo,Caorso – VedutaIl fiume Po nei pressi della frazione di Roncarolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Roberta Battaglia (lista civica di centro-destra Caorso con Battaglia sindaco) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°03′N 9°52′E
Altitudine,46 m s.l.m.
Superficie,"40,98 km²"
Abitanti,4 797[1] (30-11-2025)
Densità,"117,06 ab./km²"
Frazioni,"Muradolo, Zerbio, Roncarolo, Fossadello"
Comuni confinanti,"Caselle Landi (LO), Castelnuovo Bocca d'Adda (LO), Cortemaggiore, Monticelli d'Ongina, Piacenza, Pontenure, San Pietro in Cerro"
Altre informazioni,Altre informazioni
Cod. postale,29012
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033010
Cod. catastale,B643
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 511 GG[3]"
Nome abitanti,caorsani
Patrono,santa Maria Assunta
Giorno festivo,16 agosto
Cartografia,Cartografia
Caorso,Caorso
Caorso – MappaPosizione del comune di Caorso nella provincia di Piacenza,Caorso – MappaPosizione del comune di Caorso nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
