Zerba comune,Zerba comune.1
,
Zerba – Veduta,Zerba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Giovanni Razzari (lista civica Zerba Futura) dal 24-6-2024
Territorio,Territorio
Coordinate,44°39′55.84″N 9°17′16.62″E
Altitudine,906 m s.l.m.
Superficie,"24,13 km²"
Abitanti,67[1] (30-11-2025)
Densità,"2,78 ab./km²"
Frazioni,"Capannette di Pej, Casa della Torre, Cerreto, Codeviglio, Conca d'Oro, Pej, Samboneto, Vesimo"
Comuni confinanti,"Brallo di Pregola (PV), Cabella Ligure (AL), Cerignale, Fabbrica Curone (AL), Ottone, Santa Margherita di Staffora (PV)"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033047
Cod. catastale,M165
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 449 GG[3]"
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Zerba,Zerba
Zerba – MappaPosizione del comune di Zerba nella provincia di Piacenza,Zerba – MappaPosizione del comune di Zerba nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
