Morfasso comune,Morfasso comune.1
,
Morfasso – VedutaScorcio di Morfasso con il campanile della chiesa di Santa Maria Assunta e Santa Franca da Vitalta.,Morfasso – VedutaScorcio di Morfasso con il campanile della chiesa di Santa Maria Assunta e Santa Franca da Vitalta.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Paolo Calestani (lista civica di centro-destra Per Morfasso) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°43′N 9°42′E
Altitudine,631 m s.l.m.
Superficie,"83,93 km²"
Abitanti,848[1] (30-11-2025)
Densità,"10,1 ab./km²"
Frazioni,"Casali, Greghi, Monastero, Pedina, Rusteghini, San Michele, Sperongia, Teruzzi, Olza, Variano, Labè, Costa, Malvisi, Ravazzoli, Ca' Moglie, Levei, Rocchetta, Cornolo, Tiramani"
Comuni confinanti,"Bardi (PR), Bettola, Bore (PR), Farini, Gropparello, Lugagnano Val d'Arda, Vernasca"
Altre informazioni,Altre informazioni
Cod. postale,29020
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033028
Cod. catastale,F724
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 265 GG[3]"
Nome abitanti,morfassini
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Morfasso,Morfasso
Morfasso – MappaPosizione del comune di Morfasso nella provincia di Piacenza,Morfasso – MappaPosizione del comune di Morfasso nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
